Percent_flooding, Inter arrival time, mining_power_utilization,fraction_adversary
10,2,0.722838,0.3677298311444653
10,4,0.833856,0.3660030627871363
10,6,0.934653,0.3150105708245243
10,8,0.877637,0.3333333333333333
10,10,0.918159,0.3333333333333333
20,2,0.732769,0.400329489291598
20,4,0.870085,0.39215686274509803
20,6,0.906522,0.41866028708133973
20,8,0.908898,0.3627906976744186
20,10,0.955224,0.35202492211838005
30,2,0.812414,0.4457627118644068
30,4,0.801196,0.38361266294227186
30,6,0.908903,0.4390909090909091
30,8,0.933333,0.436412213740458
30,10,0.942943,0.40174603174603177
